"filename", "language", "JSON with Comments", "JavaScript", "MS SQL", "Markdown", "TypeScript", "JSON", "XML", "TypeScript JSX", "PostCSS", "Diff", "comment", "blank", "total"
"/Users/user/Documents/BlueprintCAD/AUTHENTICATION_FIX_COMPLETE.md", "Markdown", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 35, 166
"/Users/user/Documents/BlueprintCAD/AUTH_FIX_SUMMARY.md", "Markdown", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 28, 137
"/Users/user/Documents/BlueprintCAD/BACKEND_CLEANUP_SUMMARY.md", "Markdown", 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 26, 224
"/Users/user/Documents/BlueprintCAD/BACKEND_CONVERSION_GUIDE.md", "Markdown", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 20, 86
"/Users/user/Documents/BlueprintCAD/FRONTEND_AUTH_REFACTOR_SUMMARY.md", "Markdown", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 28, 141
"/Users/user/Documents/BlueprintCAD/README.md", "Markdown", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"/Users/user/Documents/BlueprintCAD/STOREFRONT_IMPLEMENTATION_STATUS.md", "Markdown", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 24, 147
"/Users/user/Documents/BlueprintCAD/SUBSCRIPTION_IMPLEMENTATION_GUIDE.md", "Markdown", 0, 0, 0, 376, 0, 0, 0, 0, 0, 0, 0, 70, 446
"/Users/user/Documents/BlueprintCAD/SUBSCRIPTION_SYSTEM_DESIGN.md", "Markdown", 0, 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 61, 348
"/Users/user/Documents/BlueprintCAD/SUBSCRIPTION_SYSTEM_SUMMARY.md", "Markdown", 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 59, 314
"/Users/user/Documents/BlueprintCAD/TEST_SCENARIOS.md", "Markdown", 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 84, 407
"/Users/user/Documents/BlueprintCAD/app/[username]/store/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 798, 0, 0, 13, 40, 851
"/Users/user/Documents/BlueprintCAD/app/analytics/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 384, 0, 0, 3, 25, 412
"/Users/user/Documents/BlueprintCAD/app/api/auth/[...nextauth]/route.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 75
"/Users/user/Documents/BlueprintCAD/app/auth/callback/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 2, 7, 59
"/Users/user/Documents/BlueprintCAD/app/buy/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 492, 0, 0, 9, 38, 539
"/Users/user/Documents/BlueprintCAD/app/checkout/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 482, 0, 0, 10, 49, 541
"/Users/user/Documents/BlueprintCAD/app/checkout/success/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 5, 14, 143
"/Users/user/Documents/BlueprintCAD/app/components/CheckoutModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 3, 26, 177
"/Users/user/Documents/BlueprintCAD/app/components/FolderBreadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 1, 14, 139
"/Users/user/Documents/BlueprintCAD/app/components/FolderTree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 4, 30, 224
"/Users/user/Documents/BlueprintCAD/app/components/VerificationBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 1, 11, 114
"/Users/user/Documents/BlueprintCAD/app/components/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"/Users/user/Documents/BlueprintCAD/app/components/navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 251, 0, 0, 12, 24, 287
"/Users/user/Documents/BlueprintCAD/app/components/threepreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 12, 48, 297
"/Users/user/Documents/BlueprintCAD/app/context/AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 7, 21, 155
"/Users/user/Documents/BlueprintCAD/app/context/UserContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 7, 19, 142
"/Users/user/Documents/BlueprintCAD/app/dashboard/analytics/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 415, 0, 0, 7, 24, 446
"/Users/user/Documents/BlueprintCAD/app/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 435, 0, 0, 18, 22, 475
"/Users/user/Documents/BlueprintCAD/app/error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 2, 27
"/Users/user/Documents/BlueprintCAD/app/explore/error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 2, 27
"/Users/user/Documents/BlueprintCAD/app/explore/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 882, 0, 0, 27, 21, 930
"/Users/user/Documents/BlueprintCAD/app/folders/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1591, 0, 0, 30, 80, 1701
"/Users/user/Documents/BlueprintCAD/app/folders/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 349, 0, 0, 17, 25, 391
"/Users/user/Documents/BlueprintCAD/app/forgot-password/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 4, 14, 159
"/Users/user/Documents/BlueprintCAD/app/forgot-username/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 4, 14, 159
"/Users/user/Documents/BlueprintCAD/app/forum/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 486, 0, 0, 5, 29, 520
"/Users/user/Documents/BlueprintCAD/app/forum/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 824, 0, 0, 30, 49, 903
"/Users/user/Documents/BlueprintCAD/app/global-error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 2, 31
"/Users/user/Documents/BlueprintCAD/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 7, 11, 88
"/Users/user/Documents/BlueprintCAD/app/issues/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 570, 0, 0, 11, 59, 640
"/Users/user/Documents/BlueprintCAD/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"/Users/user/Documents/BlueprintCAD/app/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 8, 26, 265
"/Users/user/Documents/BlueprintCAD/app/marketplace/error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 2, 27
"/Users/user/Documents/BlueprintCAD/app/marketplace/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 825, 0, 0, 27, 24, 876
"/Users/user/Documents/BlueprintCAD/app/messages/error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"/Users/user/Documents/BlueprintCAD/app/messages/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1201, 0, 0, 22, 56, 1279
"/Users/user/Documents/BlueprintCAD/app/not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 2, 24
"/Users/user/Documents/BlueprintCAD/app/notifications/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 383, 0, 0, 25, 40, 448
"/Users/user/Documents/BlueprintCAD/app/order/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 415, 0, 0, 4, 29, 448
"/Users/user/Documents/BlueprintCAD/app/order/thank-you/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 11, 121
"/Users/user/Documents/BlueprintCAD/app/orders/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 393, 0, 0, 7, 26, 426
"/Users/user/Documents/BlueprintCAD/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 337, 0, 0, 12, 23, 372
"/Users/user/Documents/BlueprintCAD/app/profile/[username]/followers/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 18, 211
"/Users/user/Documents/BlueprintCAD/app/profile/[username]/following/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 18, 211
"/Users/user/Documents/BlueprintCAD/app/profile/[username]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 897, 0, 0, 28, 48, 973
"/Users/user/Documents/BlueprintCAD/app/profile/[username]/page_old.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 797, 0, 0, 30, 57, 884
"/Users/user/Documents/BlueprintCAD/app/project/[id]/error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 2, 27
"/Users/user/Documents/BlueprintCAD/app/project/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 961, 0, 0, 40, 49, 1050
"/Users/user/Documents/BlueprintCAD/app/providers/AuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"/Users/user/Documents/BlueprintCAD/app/purchase/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 584, 0, 0, 13, 34, 631
