"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "TypeScript JSX", "JSON", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\README.md", "Markdown", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 24, 75
"c:\Users\codye\forge\RECOVERY_SYSTEM_SETUP.md", "Markdown", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 45, 209
"c:\Users\codye\forge\RENAME_MOVE_COMPLETE.md", "Markdown", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 32, 163
"c:\Users\codye\forge\SCALING_FEATURE.md", "Markdown", 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 32, 179
"c:\Users\codye\forge\SEPARATION_OF_CONCERNS.md", "Markdown", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 25, 140
"c:\Users\codye\forge\SETUP-TYPESCRIPT.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 12, 49
"c:\Users\codye\forge\SETUP.md", "Markdown", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 31, 152
"c:\Users\codye\forge\SHELL_TOOL.md", "Markdown", 0, 0, 0, 320, 0, 0, 0, 0, 0, 0, 88, 408
"c:\Users\codye\forge\SKETCH_CANVAS_FIX.md", "Markdown", 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 51, 231
"c:\Users\codye\forge\START_HERE.md", "Markdown", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 37, 156
"c:\Users\codye\forge\__tests__\draft-analysis.test.ts", "TypeScript", 180, 0, 0, 0, 0, 0, 0, 0, 0, 9, 52, 241
"c:\Users\codye\forge\__tests__\face-operations.test.ts", "TypeScript", 290, 0, 0, 0, 0, 0, 0, 0, 0, 7, 75, 372
"c:\Users\codye\forge\__tests__\pattern-features.test.ts", "TypeScript", 517, 0, 0, 0, 0, 0, 0, 0, 0, 10, 115, 642
"c:\Users\codye\forge\app\api\cad\files\feature-tree\route.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25, 152
"c:\Users\codye\forge\app\assembly-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 953, 0, 0, 78, 170, 1201
"c:\Users\codye\forge\app\auth\callback\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 6, 11, 95
"c:\Users\codye\forge\app\bom-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 335, 0, 0, 8, 42, 385
"c:\Users\codye\forge\app\cad-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1311, 0, 0, 71, 184, 1566
"c:\Users\codye\forge\app\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 407, 0, 0, 5, 47, 459
"c:\Users\codye\forge\app\checkout\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 124, 0, 0, 5, 14, 143
"c:\Users\codye\forge\app\components\CheckoutModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 148, 0, 0, 3, 26, 177
"c:\Users\codye\forge\app\components\FolderBreadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 124, 0, 0, 1, 14, 139
"c:\Users\codye\forge\app\components\FolderTree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 190, 0, 0, 4, 30, 224
"c:\Users\codye\forge\app\components\VerificationBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 0, 1, 11, 113
"c:\Users\codye\forge\app\components\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\codye\forge\app\components\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 256, 0, 0, 12, 24, 292
"c:\Users\codye\forge\app\components\threepreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 237, 0, 0, 12, 48, 297
"c:\Users\codye\forge\app\drawing-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 661, 0, 0, 38, 98, 797
"c:\Users\codye\forge\app\explore\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 10, 86
"c:\Users\codye\forge\app\forgot-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 140, 0, 0, 4, 14, 158
"c:\Users\codye\forge\app\forgot-username\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 140, 0, 0, 4, 14, 158
"c:\Users\codye\forge\app\forum\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 255, 0, 0, 5, 26, 286
"c:\Users\codye\forge\app\forum\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 311, 0, 0, 6, 27, 344
"c:\Users\codye\forge\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 41, 0, 0, 0, 2, 8, 51
"c:\Users\codye\forge\app\issues\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 570, 0, 0, 11, 59, 640
"c:\Users\codye\forge\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"c:\Users\codye\forge\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 216, 0, 0, 8, 28, 252
"c:\Users\codye\forge\app\marketplace\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 3, 7, 70
"c:\Users\codye\forge\app\messages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 287, 0, 0, 11, 24, 322
"c:\Users\codye\forge\app\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 309, 0, 0, 7, 24, 340
"c:\Users\codye\forge\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 5, 10, 100
"c:\Users\codye\forge\app\profile\[username]\followers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 20, 179
"c:\Users\codye\forge\app\profile\[username]\following\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 20, 179
"c:\Users\codye\forge\app\profile\[username]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 797, 0, 0, 30, 57, 884
"c:\Users\codye\forge\app\project\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 587, 0, 0, 17, 43, 647
"c:\Users\codye\forge\app\providers\AuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\codye\forge\app\quote\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 726, 0, 0, 20, 81, 827
"c:\Users\codye\forge\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 160, 0, 0, 5, 20, 185
"c:\Users\codye\forge\app\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 213, 0, 0, 5, 23, 241
"c:\Users\codye\forge\app\settings\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 238, 0, 0, 2, 26, 266
"c:\Users\codye\forge\app\upload\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 421, 0, 0, 12, 46, 479
"c:\Users\codye\forge\app\verify-email\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 123, 0, 0, 2, 16, 141
"c:\Users\codye\forge\check-issues-table.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 2, 9, 51
"c:\Users\codye\forge\components\CADViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 349, 0, 0, 32, 45, 426
"c:\Users\codye\forge\components\CADViewerModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 4, 8, 94
"c:\Users\codye\forge\components\ChangeRoleModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 1, 17, 156
"c:\Users\codye\forge\components\CommentSystem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 380, 0, 0, 10, 36, 426
"c:\Users\codye\forge\components\ConfirmationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 6, 101
"c:\Users\codye\forge\components\CreateFolderModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 11, 130
"c:\Users\codye\forge\components\FolderCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 10, 172
"c:\Users\codye\forge\components\HistoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 12, 182
"c:\Users\codye\forge\components\InvitationsNotification.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 1, 9, 115
"c:\Users\codye\forge\components\InviteMemberModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 9, 91
"c:\Users\codye\forge\components\Layout.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 1, 13
"c:\Users\codye\forge\components\MoveFolderModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 0, 1, 17, 192
"c:\Users\codye\forge\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 248, 0, 0, 12, 24, 284
"c:\Users\codye\forge\components\NotificationsDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 229, 0, 0, 9, 17, 255
"c:\Users\codye\forge\components\ProjectCard.js", "JavaScript", 0, 0, 155, 0, 0, 0, 0, 0, 0, 4, 13, 172
"c:\Users\codye\forge\components\RenameModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 12, 107
"c:\Users\codye\forge\components\ThreeDViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 40, 17, 185
"c:\Users\codye\forge\components\ThreePreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 222, 0, 0, 17, 29, 268
"c:\Users\codye\forge\components\TransferOwnershipModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 18, 179
"c:\Users\codye\forge\components\TransferRequestsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 194, 0, 0, 1, 21, 216
"c:\Users\codye\forge\components\VersionDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 14, 118
"c:\Users\codye\forge\components\VersionHistory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 211, 0, 0, 3, 26, 240
"c:\Users\codye\forge\components\cad\AdvancedSketchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 321, 0, 0, 11, 21, 353
"c:\Users\codye\forge\components\cad\AssemblyTreePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 214, 0, 0, 9, 19, 242
"c:\Users\codye\forge\components\cad\BOMViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 428, 0, 0, 4, 40, 472
"c:\Users\codye\forge\components\cad\BottomBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 5, 8, 132
"c:\Users\codye\forge\components\cad\CADViewport.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 804, 0, 0, 75, 131, 1010
"c:\Users\codye\forge\components\cad\ChamferModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 238, 0, 0, 5, 18, 261
"c:\Users\codye\forge\components\cad\CollisionDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 4, 12, 147
"c:\Users\codye\forge\components\cad\ConstraintContextMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 224, 0, 0, 7, 18, 249
"c:\Users\codye\forge\components\cad\ConstraintIconOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 235, 0, 0, 12, 48, 295
"c:\Users\codye\forge\components\cad\ConstraintManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 273, 0, 0, 7, 25, 305
"c:\Users\codye\forge\components\cad\ConstraintToolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 12, 18, 175
"c:\Users\codye\forge\components\cad\DOFDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 225, 0, 0, 9, 14, 248
"c:\Users\codye\forge\components\cad\DimensionEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 296, 0, 0, 9, 25, 330
"c:\Users\codye\forge\components\cad\DimensionRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 336, 0, 0, 20, 53, 409
"c:\Users\codye\forge\components\cad\DimensionToolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 224, 0, 0, 4, 12, 240
"c:\Users\codye\forge\components\cad\DimensionTools.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 526, 0, 0, 12, 36, 574
"c:\Users\codye\forge\components\cad\DraftAnalysisModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 343, 0, 0, 11, 26, 380
"c:\Users\codye\forge\components\cad\DrawingControls.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 464, 0, 0, 13, 22, 499
"c:\Users\codye\forge\components\cad\DrawingSheetViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 324, 0, 0, 24, 58, 406
"c:\Users\codye\forge\components\cad\EnhancedCADViewport.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 277, 0, 0, 22, 44, 343
"c:\Users\codye\forge\components\cad\ExplodeControls.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 391, 0, 0, 18, 26, 435
"c:\Users\codye\forge\components\cad\ExportModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 14, 139
"c:\Users\codye\forge\components\cad\ExtrudeModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 11, 124
"c:\Users\codye\forge\components\cad\FaceOperationsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 313, 0, 0, 11, 30, 354
"c:\Users\codye\forge\components\cad\FeatureTreeSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 418, 0, 0, 29, 40, 487
"c:\Users\codye\forge\components\cad\FilletModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 186, 0, 0, 11, 16, 213
"c:\Users\codye\forge\components\cad\LoadingSplash.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\codye\forge\components\cad\MateEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 295, 0, 0, 13, 24, 332
"c:\Users\codye\forge\components\cad\MateList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 188, 0, 0, 11, 17, 216
"c:\Users\codye\forge\components\cad\PartBrowserPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 175, 0, 0, 9, 24, 208
"c:\Users\codye\forge\components\cad\PatternModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 672, 0, 0, 15, 47, 734
"c:\Users\codye\forge\components\cad\ShellModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 450, 0, 0, 28, 54, 532
"c:\Users\codye\forge\components\cad\SidebarLeft.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 4, 10, 145
"c:\Users\codye\forge\components\cad\SidebarRight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 243, 0, 0, 4, 13, 260
"c:\Users\codye\forge\components\cad\SketchCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 504, 0, 0, 37, 66, 607
"c:\Users\codye\forge\components\cad\SketchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 9, 79
"c:\Users\codye\forge\components\cad\SweepLoftModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 491, 0, 0, 22, 50, 563
"c:\Users\codye\forge\components\cad\Toolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 279, 0, 0, 10, 18, 307
"c:\Users\codye\forge\docs\3D_VIEWER_GUIDE.md", "Markdown", 0, 0, 0, 308, 0, 0, 0, 0, 0, 0, 74, 382
"c:\Users\codye\forge\docs\3D_VIEWER_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 507, 0, 0, 0, 0, 0, 0, 149, 656
"c:\Users\codye\forge\docs\ADVANCED_CAD_FEATURES.md", "Markdown", 0, 0, 0, 464, 0, 0, 0, 0, 0, 0, 127, 591
"c:\Users\codye\forge\docs\ADVANCED_MATE_SOLVER_INTEGRATION.md", "Markdown", 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 56, 328
"c:\Users\codye\forge\docs\ADVANCED_PATTERN_FEATURES.md", "Markdown", 0, 0, 0, 587, 0, 0, 0, 0, 0, 0, 138, 725
"c:\Users\codye\forge\docs\ADVANCED_SKETCH_TOOLS.md", "Markdown", 0, 0, 0, 371, 0, 0, 0, 0, 0, 0, 81, 452
"c:\Users\codye\forge\docs\ASSEMBLY_INTEGRATION_SUMMARY.md", "Markdown", 0, 0, 0, 335, 0, 0, 0, 0, 0, 0, 71, 406
"c:\Users\codye\forge\docs\ASSEMBLY_SYSTEM.md", "Markdown", 0, 0, 0, 398, 0, 0, 0, 0, 0, 0, 79, 477
"c:\Users\codye\forge\docs\BOM_SYSTEM.md", "Markdown", 0, 0, 0, 409, 0, 0, 0, 0, 0, 0, 86, 495
"c:\Users\codye\forge\docs\DIMENSIONING_SYSTEM.md", "Markdown", 0, 0, 0, 327, 0, 0, 0, 0, 0, 0, 81, 408
"c:\Users\codye\forge\docs\DIMENSION_ANNOTATIONS.md", "Markdown", 0, 0, 0, 523, 0, 0, 0, 0, 0, 0, 150, 673
"c:\Users\codye\forge\docs\DRAFT_ANALYSIS.md", "Markdown", 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 69, 303
"c:\Users\codye\forge\docs\DRAWING_SYSTEM.md", "Markdown", 0, 0, 0, 687, 0, 0, 0, 0, 0, 0, 169, 856
"c:\Users\codye\forge\docs\EXPLODED_VIEW_SYSTEM.md", "Markdown", 0, 0, 0, 432, 0, 0, 0, 0, 0, 0, 106, 538
"c:\Users\codye\forge\docs\FACE_OPERATIONS.md", "Markdown", 0, 0, 0, 332, 0, 0, 0, 0, 0, 0, 100, 432
"c:\Users\codye\forge\docs\FEATURE_TREE.md", "Markdown", 0, 0, 0, 359, 0, 0, 0, 0, 0, 0, 102, 461
"c:\Users\codye\forge\docs\FEATURE_TREE_INTEGRATION.md", "Markdown", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 51, 219
"c:\Users\codye\forge\docs\MATE_SYSTEM.md", "Markdown", 0, 0, 0, 253, 0, 0, 0, 0, 0, 0, 45, 298
"c:\Users\codye\forge\docs\OAUTH_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 43, 270
"c:\Users\codye\forge\docs\OAUTH_SETUP.md", "Markdown", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 68, 369
"c:\Users\codye\forge\docs\OPTIMIZED_SOLVER.md", "Markdown", 0, 0, 0, 451, 0, 0, 0, 0, 0, 0, 125, 576
"c:\Users\codye\forge\docs\PASSWORD_RECOVERY.md", "Markdown", 0, 0, 0, 229, 0, 0, 0, 0, 0, 0, 70, 299
"c:\Users\codye\forge\docs\PATTERN_FEATURES.md", "Markdown", 0, 0, 0, 692, 0, 0, 0, 0, 0, 0, 178, 870
"c:\Users\codye\forge\docs\QUICKSTART.md", "Markdown", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 34, 173
"c:\Users\codye\forge\docs\SECURITY.md", "Markdown", 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 71, 364
"c:\Users\codye\forge\eslint.config.mjs", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\codye\forge\lib\auth.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 7, 41
"c:\Users\codye\forge\lib\cad-formats.js", "JavaScript", 0, 0, 251, 0, 0, 0, 0, 0, 0, 54, 25, 330
"c:\Users\codye\forge\lib\cad\annotation-styles.ts", "TypeScript", 345, 0, 0, 0, 0, 0, 0, 0, 0, 52, 62, 459
"c:\Users\codye\forge\lib\cad\assembly-system.ts", "TypeScript", 600, 0, 0, 0, 0, 0, 0, 0, 0, 135, 133, 868
"c:\Users\codye\forge\lib\cad\bom-exporters.ts", "TypeScript", 536, 0, 0, 0, 0, 0, 0, 0, 0, 58, 102, 696
"c:\Users\codye\forge\lib\cad\bom-generator.ts", "TypeScript", 374, 0, 0, 0, 0, 0, 0, 0, 0, 75, 54, 503
"c:\Users\codye\forge\lib\cad\brep\README.md", "Markdown", 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 66, 300
"c:\Users\codye\forge\lib\cad\brep\boolean.ts", "TypeScript", 499, 0, 0, 0, 0, 0, 0, 0, 0, 142, 126, 767
"c:\Users\codye\forge\lib\cad\brep\fillet-chamfer.ts", "TypeScript", 394, 0, 0, 0, 0, 0, 0, 0, 0, 131, 113, 638
"c:\Users\codye\forge\lib\cad\brep\occt.ts", "TypeScript", 287, 0, 0, 0, 0, 0, 0, 0, 0, 71, 56, 414
"c:\Users\codye\forge\lib\cad\brep\opencascade.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\codye\forge\lib\cad\brep\operations.test.ts", "TypeScript", 344, 0, 0, 0, 0, 0, 0, 0, 0, 16, 93, 453
"c:\Users\codye\forge\lib\cad\brep\operations.ts", "TypeScript", 382, 0, 0, 0, 0, 0, 0, 0, 0, 180, 102, 664
"c:\Users\codye\forge\lib\cad\brep\preview.ts", "TypeScript", 288, 0, 0, 0, 0, 0, 0, 0, 0, 50, 63, 401
"c:\Users\codye\forge\lib\cad\brep\topology.ts", "TypeScript", 575, 0, 0, 0, 0, 0, 0, 0, 0, 162, 101, 838
"c:\Users\codye\forge\lib\cad\constraint-solver.ts", "TypeScript", 630, 0, 0, 0, 0, 0, 0, 0, 0, 172, 141, 943
"c:\Users\codye\forge\lib\cad\dimension-annotations.ts", "TypeScript", 373, 0, 0, 0, 0, 0, 0, 0, 0, 32, 63, 468
"c:\Users\codye\forge\lib\cad\dimension-integration.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 366, 0, 0, 41, 28, 435
"c:\Users\codye\forge\lib\cad\dimension-manager.ts", "TypeScript", 292, 0, 0, 0, 0, 0, 0, 0, 0, 61, 48, 401
"c:\Users\codye\forge\lib\cad\draft-analysis-helpers.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 36, 24, 150
"c:\Users\codye\forge\lib\cad\draft-analysis.ts", "TypeScript", 349, 0, 0, 0, 0, 0, 0, 0, 0, 60, 53, 462
"c:\Users\codye\forge\lib\cad\drawing-exporters.ts", "TypeScript", 333, 0, 0, 0, 0, 0, 0, 0, 0, 92, 70, 495
"c:\Users\codye\forge\lib\cad\drawing-system.ts", "TypeScript", 625, 0, 0, 0, 0, 0, 0, 0, 0, 88, 128, 841
"c:\Users\codye\forge\lib\cad\edge-highlighter.ts", "TypeScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 45, 41, 251
"c:\Users\codye\forge\lib\cad\exploded-view.ts", "TypeScript", 531, 0, 0, 0, 0, 0, 0, 0, 0, 137, 107, 775
"c:\Users\codye\forge\lib\cad\face-operations.ts", "TypeScript", 419, 0, 0, 0, 0, 0, 0, 0, 0, 59, 91, 569
"c:\Users\codye\forge\lib\cad\feature-tree.ts", "TypeScript", 531, 0, 0, 0, 0, 0, 0, 0, 0, 109, 126, 766
"c:\Users\codye\forge\lib\cad\gdt-symbols.ts", "TypeScript", 304, 0, 0, 0, 0, 0, 0, 0, 0, 51, 38, 393
"c:\Users\codye\forge\lib\cad\geometry-kernel.ts", "TypeScript", 453, 0, 0, 0, 0, 0, 0, 0, 0, 49, 98, 600
"c:\Users\codye\forge\lib\cad\geometry-picker.ts", "TypeScript", 315, 0, 0, 0, 0, 0, 0, 0, 0, 71, 74, 460
"c:\Users\codye\forge\lib\cad\interactive-drag.ts", "TypeScript", 172, 0, 0, 0, 0, 0, 0, 0, 0, 41, 40, 253
